Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
Staffordshire County Council	Hardenberg & Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Harrods	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Harrogate Water Brands Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Harrogate Borough Council	Harrogate Water Brands Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	HC3S	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Oxfordshire District Council	HCL Global Supply Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wigan Metropolitan Borough Council	HC-One Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	HC-One Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Health Food Manufacturers' Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Heatforce Wales Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	HelloFresh UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	HelloFresh UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Henry Bell & Co (Grantham) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Herbal Health Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Herbalife	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Hermes	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Heron Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	HETAS Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire West and Chester Council	HFS Tarporley Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	hibu (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Hightown Housing Association Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Hillarys Blinds	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Hill Giftware Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Hillier Nurseries Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Hill's Pet Nutrition Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Hilton Worldwide	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Hilton Worldwide	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Luton Borough Council	Hilton Worldwide	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Hi Mark International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Berkshire Council	HiPP UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Hi-Spirits	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North West Leicestershire District Council	HMSHOST UK LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwickshire County Council	Holland & Barrett International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Holmesterne Farm Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Holroyd Howe	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Homebase	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Homebase	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	Home Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Home Retail Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Home Retail Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	Honda Motor Europe Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Newcastle upon Tyne City Council	Hooked-on Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bolton Metropolitan Borough Council	Hoover Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Hopwells Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Horlicks	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Hotel Chocolat	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Hotel Chocolat	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	House of Fraser	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire Fire & Rescue Service	Housing & Care 21	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Hovis Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wycombe District Council	Hovis Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Howden Joinery Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	HP Inc UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancashire County Council	HTI Group / HTI Toys UK Limited (Halsall's)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Breckland District Council	Hughes TV and Audio Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Hugo Boss UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	Hugo Boss UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	Hunter Douglas UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Hutchings and Harding Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Hyde Housing Association	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	Hydes' Brewery Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire Fire & Rescue Service	Hydes' Brewery Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Central Bedfordshire Council	Hy-pro International Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Iceland Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Icelolly.com	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	ICI Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Ideal Shopping Direct Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	IEB Trading Limited trading as All Beauty.com	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Igennus Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	IKEA LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	Ilec Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Portsmouth City Council	Imperial Cars of Swanwick Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Independence Brokerage Services Community Interest Co.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Indesit Company UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Indigo Jamm Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Inline Health & Beauty Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	INNOCENT LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	INNOCENT LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Innovate Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Innovative Bites Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Inspired Pet Nutrition Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Instant Gifts International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Intelex Group (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Intercontinental Brands (ICB) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	International Procurement and Logistics Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	Intu Properties plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Newcastle upon Tyne City Council	Intu Properties plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	iPRO SPORT DISTRIBUTION LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Swindon Borough Council	ISS FacilityServices Healthcare,Education,Authorities and Defence	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Itsu Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northumberland Council	Jackel International Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Glasgow City Council	Jacobs & Turner Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	James Finlay Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bath and North East Somerset Council	Jamie's Italian Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	Jarden Consumer Solutions (Europe) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Jason Proctor t/a Aerozone Trading Company	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dorset & Wiltshire Fire and Rescue Service	JB Global Limited  (T A Oak Furnitureland)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	JD Wetherspoon Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Horsham District Council	Jeanie Marshal Foods	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Enfield	JJ Food Service Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	John Adams Leisure	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	John Cotton Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	John Crane Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Devon Council	John Fowler	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	John Gillman & Sons Electrical Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	John Lewis Partnership Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	John Lewis Partnership Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	John Lewis Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	"""Johnnie"" Johnson Housing Trust Limited"	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	John Pointon & Sons Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	John West Foods Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Cambridgeshire District Council	John West Foods Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bury Metropolitan Borough Council	Joseph Holt Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	JTF Wholesale Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Jumbo Importers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Trafford Metropolitan Borough Council	Jump Nation Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rushcliffe Borough Council	Jurys Inn Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Just Perfect Catering Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Justwise Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Kallo Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Keel Toys Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	KELLYDELI	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Keniston Housing Association	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Kennelpak	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Kent Cosmetics Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Woking Borough Council	Kentucky Fried Chicken (Great Britain) Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Buckinghamshire Fire & Rescue Service	Kentucky Fried Chicken (Great Britain) Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Kentucky Fried Chicken (Great Britain) Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Kerry Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Kettle Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Kidde Safety Europe Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Kimberly Clark Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Kimbolton	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Kingsley Beverages Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Kit for Kids Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Exeter City Council	K M innovations Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	KMSW Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Avon Fire & Rescue Service	Knightstone Housing Association	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	KP Snacks	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Krispy Kreme UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	KTC Edibles Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Kwik-Fit (GB) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Kwik-Fit (GB) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Kybotech	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Lacka Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Lactalis McLelland Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Ladbrokes Coral Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Lakeland Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancaster City Council	Lancaster Brewery	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Landmann	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Land Securities Group PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Lantmannen Unibake UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	La Redoute	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	LDH (LA Doria) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Leadingforce Ltd T/A Lottie Shaw’s & Thomas’s Bakery	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Leafield Feeds Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Leeds Jewish Housing Association	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Leisure and Outdoor Furniture Association (LOFA)	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Leisure Vehicle Franchising Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Leonard Cheshire Disability	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	LG Electronics	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Liberro (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Bexley	Lidl	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Lidl	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Lifeplus Europe Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Norfolk County Council	Lily's Kitchen Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Kesteven District Council	Lincolnshire Co-operative Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Lincolnshire Co-operative Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Lindam Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Livewheatgrass Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Living Online Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Lloyds Banking Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Lloyds Banking Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Lloyds Banking Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Logicor (Group) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	London and Quadrant Housing Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	London Legacy Development Corporation	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Look Ahead Care and Support Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Lornamead UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Lovering Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Lovering Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Lowell Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	L.R. Nash (SMK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	L Rowland & Company (Retail) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Lubna Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Kensington and Chelsea	Luckies	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Lucky Dip (Nottingham) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	Lucozade Ribena Suntory Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire Fire & Rescue Service	Luminus Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Luscombe Drinks Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	MA Assist Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Made.com Design Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Magimix UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hereford & Worcester Fire & Rescue Service	Mainstay Residential Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Majestic Wine	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Majestic Wine	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Makita	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire Regulatory Services	Malvern Tyres Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Mamas and Papas	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	Mandarin Corporation Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Maplin Electronics Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Midlands Fire & Rescue Service	Marie Curie	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Midlands Fire & Rescue Service	Marks and Spencer Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	Marks and Spencer Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Marks and Spencer Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Marlow Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	Marriott Hotels	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Mars	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire Fire & Rescue Service	Marshall Aerospace and Defence Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Marshall Motor Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Marshals Mono Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Marshwood Farm Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Marstons Brewery	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hereford & Worcester Fire & Rescue Service	Marston's PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Luton Borough Council	Martin-Brower	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Matthew Clark	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Matthew Clark	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	MCA Enterprises Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	McCarthy & Stone Retirement Lifestyles Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	McCarthy & Stone Retirement Lifestyles Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	McDonald's Restaurants Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Barnet	McDonald's Restaurants Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wrexham County Borough Council	Meadow Vale Holdings Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Meatsnacks Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Mercedes	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Test Valley Borough Council	Merityre Specialists Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire Fire & Rescue Service	Methodist Homes (MHA)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Michael I Holdsworth Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Michaels Wholesale Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	Micheldever Tyre Service Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Micheldever Tyre Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Micheldever Tyre Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lichfield District Council	Midland Expressway Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Colchester Borough Council	Milsom Hotels Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Minster Care Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Minster Fine Foods	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Mitchells & Butlers Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Mitchells & Butlers Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Mitie Catering Services Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	M J Birtwistle & Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	M&J Seafoods	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Mobus Fabrics Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Devon Council	Mole Valley Farmers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Mole Valley Farmers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Moma Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	Mondelez UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Kensington and Chelsea	Monsoon Accessorize Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Monsoon Accessorize Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	MONSTER ENERGY EUROPE LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rushcliffe Borough Council	Months Earlier Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
